Age (ka),Alkane Depth (amcd),Alkanes (ng/g)
645.44,31.47,94.53
645.88,31.49,100.84
646.33,31.51,99.96
646.78,31.53,81.46
647.22,31.55,102.09
647.67,31.57,68.02
647.89,31.58,86.52
648.34,31.6,99.2
648.78,31.62,74.01
649.23,31.64,144.23
649.68,31.66,95.26
650.12,31.68,103.28
650.57,31.7,135.73
651.01,31.72,96.29
651.46,31.74,215.77
651.9,31.76,116.66
652.52,31.79,148.95
652.94,31.81,106.69
652.94,31.81,148.43
653.36,31.83,149.56
653.36,31.83,140.14
653.78,31.85,138.15
653.78,31.85,157.37
654.2,31.87,151.2
654.41,31.88,144.4
654.61,31.89,155.7
654.82,31.9,130.51
655.03,31.91,137.02
655.24,31.92,201
655.45,31.93,111.74
655.65,31.94,110.33
655.83,31.95,110.91
656.21,31.97,129.06
656.58,31.99,115.13
656.95,32.01,147.05
657.32,32.03,151.44
657.69,32.05,125.46
658.06,32.07,145.16
658.44,32.09,216.6
658.81,32.11,208.71
